"with_Year_or_CO2","what","site","sp","parameter","Value","Std.Error","DF","t.value","p.value"
"","log_agb_inc_dbh","SCBI","CACO","(Intercept)",-13.0648616549441,0.715484868023352,613,-18.2601508974438,8.28624590670991e-60
"","log_agb_inc_dbh","SCBI","CACO","dbh",0.365875241435835,0.0385984643089097,613,9.47901031781151,5.5326562772394e-20
"","log_agb_inc_dbh","SCBI","CACO","I(dbh^2)",-0.00775091215238223,0.00133417662585322,613,-5.8095097771822,1.00716209837781e-08
"","log_agb_inc_dbh","SCBI","CACO","pet",-0.101989115312341,0.0679674668055041,613,-1.50055784194802,0.133984827565301
"","log_agb_inc_dbh","SCBI","CACO","pre",0.0778470827777608,0.0159989580207728,613,4.86575954988353,1.45166784969976e-06
"","log_agb_inc_dbh","SCBI","CACO","I(pre^2)",-0.000434985765105247,9.89812259003287e-05,613,-4.39462899300989,1.30765325825944e-05
"","log_agb_inc_dbh","SCBI","LITU","(Intercept)",-11.3428778517434,0.251343757044694,3274,-45.1289420716599,0
"","log_agb_inc_dbh","SCBI","LITU","dbh",0.293951068539467,0.0143661211614667,3274,20.4614081445945,1.15775558076982e-87
"","log_agb_inc_dbh","SCBI","LITU","I(dbh^2)",-0.00389796750407546,0.000302568555536306,3274,-12.8829233334121,4.40487348136672e-37
"","log_agb_inc_dbh","SCBI","LITU","pre",0.0357148746587149,0.00539344374488536,3274,6.62190547413859,4.12855080653439e-11
"","log_agb_inc_dbh","SCBI","LITU","I(pre^2)",-0.000196466922743549,3.35822303908017e-05,3274,-5.85032383070548,5.38955570906093e-09
"","log_agb_inc_dbh","SCBI","FRAM","(Intercept)",-10.0005376864476,0.323473797965563,2364,-30.9160672343306,1.51884920466016e-176
"","log_agb_inc_dbh","SCBI","FRAM","dbh",0.187853802733702,0.0107501138240346,2364,17.4745873214577,2.10033802735056e-64
"","log_agb_inc_dbh","SCBI","FRAM","I(dbh^2)",-0.00183891760731156,0.000167222288299299,2364,-10.9968451335878,1.81048009246687e-27
"","log_agb_inc_dbh","SCBI","FRAM","pet",-0.0863177398757958,0.0303473948213398,2364,-2.84432124681419,0.00448889225753804
"","log_agb_inc_dbh","SCBI","FRAM","pre",0.0314485576347723,0.00700556642487242,2364,4.48908135723588,7.49636275926211e-06
"","log_agb_inc_dbh","SCBI","FRAM","I(pre^2)",-0.000182894107287716,4.34094604667856e-05,2364,-4.21323152421246,2.61186303103024e-05
"","log_agb_inc_dbh","SCBI","CATO","(Intercept)",-11.7591124039197,0.685416507165354,532,-17.1561558278649,7.77361572748466e-53
"","log_agb_inc_dbh","SCBI","CATO","dbh",0.341831815241424,0.0544090385587019,532,6.28262921559662,6.9301309686961e-10
"","log_agb_inc_dbh","SCBI","CATO","I(dbh^2)",-0.00743570154540554,0.00172761924704177,532,-4.30401638447696,1.99686786010879e-05
