"Species","Year","Num_of_trees","sss"
"CedarBreaks_PSME",1825,1,0.263
"CedarBreaks_PSME",1826,1,0.263
"CedarBreaks_PSME",1827,2,0.434
"CedarBreaks_PSME",1828,2,0.434
"CedarBreaks_PSME",1829,2,0.434
"CedarBreaks_PSME",1830,2,0.434
"CedarBreaks_PSME",1831,2,0.434
"CedarBreaks_PSME",1832,2,0.434
"CedarBreaks_PSME",1833,2,0.434
"CedarBreaks_PSME",1834,2,0.434
"CedarBreaks_PSME",1835,2,0.434
"CedarBreaks_PSME",1836,2,0.434
"CedarBreaks_PSME",1837,2,0.434
"CedarBreaks_PSME",1838,2,0.434
"CedarBreaks_PSME",1839,2,0.434
"CedarBreaks_PSME",1840,3,0.553
"CedarBreaks_PSME",1841,3,0.553
"CedarBreaks_PSME",1842,3,0.553
"CedarBreaks_PSME",1843,4,0.641
"CedarBreaks_PSME",1844,4,0.641
"CedarBreaks_PSME",1845,4,0.641
"CedarBreaks_PSME",1846,4,0.641
"CedarBreaks_PSME",1847,4,0.641
"CedarBreaks_PSME",1848,4,0.641
"CedarBreaks_PSME",1849,4,0.641
"CedarBreaks_PSME",1850,5,0.709
"CedarBreaks_PSME",1851,5,0.709
"CedarBreaks_PSME",1852,5,0.709
"CedarBreaks_PSME",1853,5,0.709
"CedarBreaks_PSME",1854,5,0.709
"CedarBreaks_PSME",1855,6,0.763
"CedarBreaks_PSME",1856,6,0.763
"CedarBreaks_PSME",1857,6,0.763
"CedarBreaks_PSME",1858,6,0.763
"CedarBreaks_PSME",1859,7,0.807
"CedarBreaks_PSME",1860,7,0.807
"CedarBreaks_PSME",1861,7,0.807
"CedarBreaks_PSME",1862,7,0.807
"CedarBreaks_PSME",1863,7,0.807
"CedarBreaks_PSME",1864,7,0.807
"CedarBreaks_PSME",1865,7,0.807
"CedarBreaks_PSME",1866,7,0.807
"CedarBreaks_PSME",1867,7,0.807
"CedarBreaks_PSME",1868,7,0.807
"CedarBreaks_PSME",1869,7,0.807
"CedarBreaks_PSME",1870,7,0.807
"CedarBreaks_PSME",1871,7,0.807
"CedarBreaks_PSME",1872,7,0.807
"CedarBreaks_PSME",1873,7,0.807
"CedarBreaks_PSME",1874,7,0.807
"CedarBreaks_PSME",1875,7,0.807
"CedarBreaks_PSME",1876,7,0.807
"CedarBreaks_PSME",1877,7,0.807
"CedarBreaks_PSME",1878,7,0.807
"CedarBreaks_PSME",1879,7,0.807
"CedarBreaks_PSME",1880,7,0.807
"CedarBreaks_PSME",1881,7,0.807
"CedarBreaks_PSME",1882,7,0.807
"CedarBreaks_PSME",1883,7,0.807
"CedarBreaks_PSME",1884,7,0.807
"CedarBreaks_PSME",1885,7,0.807
"CedarBreaks_PSME",1886,7,0.807
"CedarBreaks_PSME",1887,7,0.807
"CedarBreaks_PSME",1888,7,0.807
"CedarBreaks_PSME",1889,8,0.843
